Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788441287,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788441288,5,,Aggregated,0.000000,0.000000,900,900,990,990,990,990,990,990,990,990,990,4,0,370,626.245174993528,244.05549990478903,993.7651000218466,1692.5
1788441289,10,,Aggregated,0.000000,0.000000,210,340,370,900,990,990,990,990,990,990,990,14,0,200,353.54949286141033,65.279999980703,993.7651000218466,692.7142857142857
1788441290,15,,Aggregated,0.000000,0.000000,240,370,570,620,990,990,990,990,990,990,990,19,0,240,360.67517895227,27.090599993243814,993.7651000218466,4760.0
1788441291,20,,Aggregated,0.000000,0.000000,240,370,570,620,990,990,990,990,990,990,990,19,0,240,360.67517895227,27.090599993243814,993.7651000218466,4760.0
1788441292,20,,Aggregated,6.333333,0.000000,450,990,1100,1500,2000,2100,2300,2300,2300,2300,2300,30,0,430,751.03214000895,27.090599993243814,2257.870699977502,3423.633333333333
1788441293,20,,Aggregated,4.750000,0.000000,900,1500,2100,2200,2700,2800,2900,2900,2900,2900,2900,44,0,620,1078.3532363711856,10.13099995907396,2862.9014000762254,14959.25
1788441294,20,,Aggregated,5.200000,0.000000,360,990,1400,1900,2500,2700,2800,2900,2900,2900,2900,61,0,360,820.2400409910431,5.794800003059208,2862.9014000762254,16282.344262295082
1788441295,20,,Aggregated,6.666667,0.000000,210,560,990,1500,2300,2700,2800,2900,2900,2900,2900,75,0,210,676.788874672105,3.03900009021163,2862.9014000762254,15612.2
1788441296,20,,Aggregated,8.285714,0.000000,140,370,900,1000,2200,2700,2800,2900,2900,2900,2900,88,0,130,585.822784097135,3.03900009021163,2862.9014000762254,17868.386363636364
1788441297,20,,Aggregated,8.750000,0.000000,99,240,560,990,2100,2600,2800,2800,2900,2900,2900,104,0,95,503.21295769670263,3.03900009021163,2862.9014000762254,17576.875
1788441298,20,,Aggregated,9.111111,0.000000,110,280,510,620,2000,2600,2800,2800,2900,2900,2900,116,0,100,483.60100000542747,3.03900009021163,2862.9014000762254,16513.672413793105
1788441299,20,,Aggregated,10.100000,0.000000,110,250,510,610,1600,2500,2800,2800,2900,2900,2900,131,0,110,452.63226946748307,3.03900009021163,2862.9014000762254,16528.75572519084
1788441300,20,,Aggregated,10.600000,0.000000,99,240,430,570,1500,2300,2800,2800,2900,2900,2900,144,0,97,419.18350000115527,3.03900009021163,2862.9014000762254,16251.305555555555
1788441301,20,,Aggregated,11.300000,0.000000,100,240,410,530,1400,2300,2700,2800,2900,2900,2900,160,0,99,397.2336825012462,3.03900009021163,2862.9014000762254,16690.80625
1788441302,20,,Aggregated,12.300000,0.000000,100,230,360,450,1000,2200,2700,2800,2900,2900,2900,176,0,100,376.5058840905443,3.03900009021163,2862.9014000762254,17489.31818181818
1788441303,20,,Aggregated,13.700000,0.000000,99,210,320,410,990,2100,2700,2800,2900,2900,2900,190,0,97,354.300747893285,3.03900009021163,2862.9014000762254,17479.673684210527
1788441304,20,,Aggregated,14.600000,0.000000,100,210,320,410,990,2100,2700,2800,2900,2900,2900,203,0,100,344.19633349715707,3.03900009021163,2862.9014000762254,17580.330049261083
1788441305,20,,Aggregated,14.500000,0.000000,110,230,350,450,990,2100,2700,2800,2900,2900,2900,213,0,110,356.1516032863557,3.03900009021163,2862.9014000762254,17566.483568075117
1788441306,20,,Aggregated,14.200000,0.000000,110,240,380,510,1000,2000,2700,2800,2900,2900,2900,228,0,110,359.98195877223145,3.03900009021163,2862.9014000762254,18212.877192982458
1788441307,20,,Aggregated,13.800000,0.000000,99,210,340,450,990,1900,2700,2800,2900,2900,2900,245,0,99,339.1505024495668,3.03900009021163,2862.9014000762254,18311.073469387757
1788441308,20,,Aggregated,14.300000,0.000000,97,190,310,410,990,1600,2600,2800,2900,2900,2900,261,0,97,322.4008731808071,3.03900009021163,2862.9014000762254,18147.521072796935
1788441309,20,,Aggregated,13.900000,0.000000,95,190,290,390,900,1600,2600,2800,2900,2900,2900,275,0,95,311.9055338186974,3.03900009021163,2862.9014000762254,18714.974545454545
1788441310,20,,Aggregated,14.800000,0.000000,92,180,280,360,710,1600,2600,2800,2900,2900,2900,291,0,92,297.6535044668908,3.03900009021163,2862.9014000762254,18280.68728522337
1788441311,20,,Aggregated,14.300000,0.000000,91,170,250,340,690,1500,2500,2700,2900,2900,2900,302,0,90,288.6905589399995,3.03900009021163,2862.9014000762254,17935.66225165563
1788441312,20,,Aggregated,14.400000,0.000000,92,180,280,380,780,1500,2500,2700,2900,2900,2900,318,0,92,292.81515503154316,3.03900009021163,2862.9014000762254,17566.927672955975
